symbol,price,timestamp
NAB,17.5437,2015-01-12
NVDA,0.4724,2015-01-12
NWH,0.2589,2015-01-12
RMD,6.2124,2015-01-12
SDF,1.0774,2015-01-12
SHL,12.7486,2015-01-12
STW,31.4741,2015-01-12
TCL,5.4633,2015-01-12
TLS,3.7356,2015-01-12
TSM,15.91,2015-01-12
VAP,42.2626,2015-01-12
VEU,39.497,2015-01-12
WBC,18.2963,2015-01-12
WDS,18.6717,2015-01-12
WES,16.611,2015-01-12
AGL,7.962,2015-01-13
ALX,1.7665,2015-01-13
AMAT,20.3433,2015-01-13
AMD,2.66,2015-01-13
AMZN,14.737,2015-01-13
ANZ,19.8079,2015-01-13
ASX,24.8899,2015-01-13
AUB,6.8787,2015-01-13
AVGO,7.8581,2015-01-13
AX1,0.406,2015-01-13
AZJ,2.641,2015-01-13
AZN,25.0642,2015-01-13
CBA,51.6951,2015-01-13
CCJ,13.1816,2015-01-13
CHC,2.9998,2015-01-13
CME,57.1662,2015-01-13
CSL,74.3894,2015-01-13
DXS,4.0197,2015-01-13
EQIX,167.7868,2015-01-13
FTNT,6.18,2015-01-13
GNE,0.9068,2015-01-13
GOOG,24.5569,2015-01-13
GOOGL,24.9018,2015-01-13
IAA,46.265,2015-01-13
IEU,37.3767,2015-01-13
IOO,37.6956,2015-01-13
IVV,13.9669,2015-01-13
IXI,40.6737,2015-01-13
MA,78.1449,2015-01-13
MAQ,4.4064,2015-01-13
META,75.9197,2015-01-13
MSFT,39.4677,2015-01-13
NAB,17.4868,2015-01-13
NVDA,0.4716,2015-01-13
NWH,0.2517,2015-01-13
RMD,6.3446,2015-01-13
SDF,1.0845,2015-01-13
SHL,12.5821,2015-01-13
STW,31.2926,2015-01-13
TCL,5.4757,2015-01-13
TLS,3.7789,2015-01-13
TSM,16.1089,2015-01-13
VAP,42.0242,2015-01-13
VEU,39.7647,2015-01-13
WBC,18.3292,2015-01-13
WDS,18.3481,2015-01-13
WES,16.6345,2015-01-13
AGL,7.9504,2015-01-14
ALX,1.7553,2015-01-14
AMAT,20.0729,2015-01-14
AMD,2.63,2015-01-14
AMZN,14.6635,2015-01-14
ANZ,19.5061,2015-01-14
ASX,24.8288,2015-01-14
AUB,6.8242,2015-01-14
AVGO,7.9201,2015-01-14
AX1,0.406,2015-01-14
AZJ,2.5907,2015-01-14
AZN,25.2413,2015-01-14
CBA,50.7133,2015-01-14
CCJ,12.6815,2015-01-14
CHC,2.9998,2015-01-14
CME,55.7753,2015-01-14
CSL,73.8131,2015-01-14
DXS,4.0086,2015-01-14
EQIX,169.0457,2015-01-14
FTNT,6.184,2015-01-14
GNE,0.9666,2015-01-14
GOOG,24.789,2015-01-14
GOOGL,25.1068,2015-01-14
IAA,46.9378,2015-01-14
IEU,37.7376,2015-01-14
IOO,37.9549,2015-01-14
IVV,13.9702,2015-01-14
IXI,40.987,2015-01-14
MA,78.0607,2015-01-14
MAQ,4.4064,2015-01-14
META,75.7509,2015-01-14
MSFT,39.1271,2015-01-14
NAB,17.4351,2015-01-14
NVDA,0.4736,2015-01-14
NWH,0.2589,2015-01-14
RMD,6.4591,2015-01-14
SDF,1.0739,2015-01-14
SHL,12.589,2015-01-14
STW,31.0485,2015-01-14
TCL,5.482,2015-01-14
TLS,3.816,2015-01-14
TSM,16.1166,2015-01-14
VAP,42.0838,2015-01-14
VEU,40.1944,2015-01-14
WBC,18.181,2015-01-14
WDS,18.2556,2015-01-14
WES,16.5053,2015-01-14
AGL,8.0086,2015-01-15
ALX,1.7385,2015-01-15
AMAT,20.3389,2015-01-15
AMD,2.52,2015-01-15
AMZN,14.3475,2015-01-15
ANZ,19.4014,2015-01-15
ASX,24.6455,2015-01-15
AUB,6.7901,2015-01-15
AVGO,7.7616,2015-01-15
AX1,0.4172,2015-01-15
AZJ,2.5628,2015-01-15
AZN,25.2554,2015-01-15
CBA,50.6103,2015-01-15
CCJ,12.5208,2015-01-15
CHC,3.0063,2015-01-15
CME,55.6835,2015-01-15
CSL,74.226,2015-01-15
DXS,4.0197,2015-01-15
EQIX,168.5282,2015-01-15
FTNT,6.054,2015-01-15
GNE,0.9298,2015-01-15
GOOG,24.8345,2015-01-15
GOOGL,25.0115,2015-01-15
IAA,46.1779,2015-01-15
IEU,37.3325,2015-01-15
IOO,37.5227,2015-01-15
IVV,13.8073,2015-01-15
IXI,40.7106,2015-01-15
MA,76.929,2015-01-15
MAQ,4.4064,2015-01-15
META,73.5363,2015-01-15
MSFT,38.7227,2015-01-15
NAB,17.3368,2015-01-15
NVDA,0.4703,2015-01-15
NWH,0.2517,2015-01-15
RMD,6.4679,2015-01-15
SDF,1.1024,2015-01-15
SHL,12.6514,2015-01-15
STW,30.917,2015-01-15
TCL,5.5812,2015-01-15
TLS,3.8346,2015-01-15
TSM,17.517,2015-01-15
VAP,41.9587,2015-01-15
VEU,39.5886,2015-01-15
WBC,17.9944,2015-01-15
WDS,18.0091,2015-01-15
WES,16.6775,2015-01-15
AGL,7.9155,2015-01-16
ALX,1.6994,2015-01-16
AMAT,20.4653,2015-01-16
AMD,2.39,2015-01-16
AMZN,14.537,2015-01-16
ANZ,19.2535,2015-01-16
ASX,24.6726,2015-01-16
AUB,6.8787,2015-01-16
AVGO,7.9531,2015-01-16
AX1,0.4004,2015-01-16
AZJ,2.5349,2015-01-16
AZN,25.5211,2015-01-16
CBA,50.6466,2015-01-16
CCJ,12.8155,2015-01-16
CHC,2.9933,2015-01-16
CME,55.795,2015-01-16
CSL,71.3877,2015-01-16
DXS,3.936,2015-01-16
EQIX,170.096,2015-01-16
FTNT,6.184,2015-01-16
GNE,0.9068,2015-01-16
GOOG,25.1458,2015-01-16
GOOGL,25.3314,2015-01-16
IAA,45.988,2015-01-16
IEU,37.141,2015-01-16
IOO,37.0741,2015-01-16
IVV,13.5288,2015-01-16
IXI,40.5668,2015-01-16
MA,78.3787,2015-01-16
MAQ,4.2755,2015-01-16
META,74.6585,2015-01-16
MSFT,39.3698,2015-01-16
NAB,17.2592,2015-01-16
NVDA,0.4789,2015-01-16
NWH,0.2481,2015-01-16
RMD,6.3622,2015-01-16
SDF,1.1237,2015-01-16
SHL,12.4156,2015-01-16
STW,30.723,2015-01-16
TCL,5.5626,2015-01-16
TLS,3.8469,2015-01-16
TSM,17.2951,2015-01-16
VAP,41.6667,2015-01-16
VEU,39.4477,2015-01-16
WBC,17.978,2015-01-16
WDS,17.5468,2015-01-16
WES,16.6854,2015-01-16
AGL,7.9097,2015-01-19
ALX,1.705,2015-01-19
ANZ,19.2659,2015-01-19
ASX,24.8763,2015-01-19
AUB,6.9265,2015-01-19
AX1,0.4172,2015-01-19
AZJ,2.5405,2015-01-19
CBA,50.3618,2015-01-19
CHC,3.0063,2015-01-19
CSL,71.7919,2015-01-19
DXS,4.0309,2015-01-19
GNE,0.916,2015-01-19
IAA,45.6951,2015-01-19
IEU,37.8996,2015-01-19
IOO,37.5762,2015-01-19
IVV,13.7894,2015-01-19
IXI,41.0497,2015-01-19
MAQ,4.3628,2015-01-19
NAB,17.2334,2015-01-19
NWH,0.2481,2015-01-19
RMD,6.4591,2015-01-19
SDF,1.1201,2015-01-19
SHL,12.4156,2015-01-19
STW,30.7918,2015-01-19
TCL,5.5316,2015-01-19
TLS,3.816,2015-01-19
VAP,41.8276,2015-01-19
VEU,39.969,2015-01-19
WBC,17.9066,2015-01-19
WDS,17.5519,2015-01-19
WES,16.6306,2015-01-19
AGL,7.9911,2015-01-20
ALX,1.7273,2015-01-20
AMAT,20.6048,2015-01-20
AMD,2.24,2015-01-20
AMZN,14.472,2015-01-20
ANZ,19.4075,2015-01-20
ASX,24.8695,2015-01-20
AUB,6.9197,2015-01-20
AVGO,8.0335,2015-01-20
AX1,0.4116,2015-01-20
AZJ,2.5628,2015-01-20
AZN,25.4255,2015-01-20
CBA,50.6042,2015-01-20
CCJ,12.5476,2015-01-20
CHC,3.0128,2015-01-20
CME,56.1296,2015-01-20
CSL,72.0413,2015-01-20
DXS,4.0197,2015-01-20
EQIX,171.7642,2015-01-20
FTNT,6.208,2015-01-20
GNE,0.8792,2015-01-20
GOOG,25.0874,2015-01-20
GOOGL,25.3058,2015-01-20
IAA,46.0196,2015-01-20
IEU,38.2163,2015-01-20
IOO,37.782,2015-01-20
IVV,13.8916,2015-01-20
IXI,41.2856,2015-01-20
MA,78.809,2015-01-20
MAQ,4.45,2015-01-20
META,75.7111,2015-01-20
MSFT,39.4975,2015-01-20
NAB,17.3575,2015-01-20
NVDA,0.4804,2015-01-20
NWH,0.2265,2015-01-20
RMD,6.4062,2015-01-20
SDF,1.1201,2015-01-20
SHL,12.4017,2015-01-20
STW,30.8231,2015-01-20
TCL,5.5812,2015-01-20
TLS,3.8284,2015-01-20
TSM,17.6701,2015-01-20
VAP,41.5714,2015-01-20
VEU,40.2578,2015-01-20
WBC,18.0493,2015-01-20
WDS,16.5656,2015-01-20
WES,16.6658,2015-01-20
AGL,8.1425,2015-01-21
ALX,1.7329,2015-01-21
AMAT,21.2065,2015-01-21
AMD,2.45,2015-01-21
AMZN,14.8625,2015-01-21
ANZ,19.4814,2015-01-21
ASX,25.209,2015-01-21
AUB,6.8242,2015-01-21
AVGO,8.0726,2015-01-21
AX1,0.406,2015-01-21
AZJ,2.6131,2015-01-21
AZN,25.174,2015-01-21
CBA,51.3133,2015-01-21
CCJ,12.7887,2015-01-21
CHC,3.0585,2015-01-21
CME,56.1296,2015-01-21
CSL,72.9616,2015-01-21
DXS,4.1314,2015-01-21
EQIX,172.552,2015-01-21
FTNT,6.238,2015-01-21
GNE,0.8792,2015-01-21
GOOG,25.6388,2015-01-21
GOOGL,25.8244,2015-01-21
IAA,46.8111,2015-01-21
IEU,38.4004,2015-01-21
IOO,37.9631,2015-01-21
IVV,13.8648,2015-01-21
IXI,41.2229,2015-01-21
MA,78.3039,2015-01-21
MAQ,4.45,2015-01-21
META,76.2077,2015-01-21
MSFT,39.0973,2015-01-21
NAB,17.6265,2015-01-21
NVDA,0.4871,2015-01-21
NWH,0.2301,2015-01-21
RMD,6.4503,2015-01-21
SDF,1.1272,2015-01-21
SHL,12.7139,2015-01-21
STW,31.2863,2015-01-21
TCL,5.7489,2015-01-21
TLS,3.8778,2015-01-21
TSM,17.7619,2015-01-21
VAP,42.7452,2015-01-21
VEU,40.3635,2015-01-21
WBC,18.3182,2015-01-21
WDS,16.7454,2015-01-21
WES,17.0181,2015-01-21
AGL,8.0494,2015-01-22
ALX,1.7329,2015-01-22
AMAT,21.4681,2015-01-22
AMD,2.47,2015-01-22
AMZN,15.516,2015-01-22
ANZ,19.5677,2015-01-22
ASX,25.1139,2015-01-22
AUB,6.8924,2015-01-22
AVGO,8.0588,2015-01-22
AX1,0.4088,2015-01-22
AZJ,2.6801,2015-01-22
AZN,25.0181,2015-01-22
CBA,51.6526,2015-01-22
CCJ,12.8065,2015-01-22
CHC,3.0715,2015-01-22
CME,58.111,2015-01-22
CSL,72.6262,2015-01-22
DXS,4.1314,2015-01-22
EQIX,176.9774,2015-01-22
FTNT,6.286,2015-01-22
GNE,0.916,2015-01-22
GOOG,26.4479,2015-01-22
GOOGL,26.6635,2015-01-22
IAA,47.856,2015-01-22
IEU,39.3578,2015-01-22
IOO,38.7082,2015-01-22
IVV,14.1539,2015-01-22
IXI,42.2476,2015-01-22
MA,78.9212,2015-01-22
MAQ,4.4762,2015-01-22
META,77.1114,2015-01-22
MSFT,40.1275,2015-01-22
NAB,17.7558,2015-01-22
NVDA,0.4955,2015-01-22
NWH,0.2265,2015-01-22
RMD,6.5032,2015-01-22
SDF,1.113,2015-01-22
SHL,12.7069,2015-01-22
STW,31.4241,2015-01-22
TCL,5.7551,2015-01-22
TLS,3.8778,2015-01-22
TSM,18.1445,2015-01-22
VAP,42.2864,2015-01-22
VEU,41.2651,2015-01-22
WBC,18.5816,2015-01-22
WDS,17.2694,2015-01-22
WES,17.069,2015-01-22
AGL,8.1308,2015-01-23
ALX,1.7441,2015-01-23
AMAT,21.0234,2015-01-23
AMD,2.45,2015-01-23
